"id";"nome";"cidade";"latitude";"longitude";"cep";"endereco"
"23";"B.HORIZONTE";"BELO HORIZONTE";"-19.918";"-43.9399";"30170-130";"RUA SAO PAULO 504 NA 514/516"
"24";"RIBEIRAO PRETO";"RIBEIRAO PRETO";"-21.1764";"-47.811";"14010-000";"RUA GENERAL OSORIO 470"
"25";"SHC MEIER";"RIO DE JANEIRO";"-22.9034";"-43.2835";"20720-010";"RUA DIAS DA CRUZ 255 LOJA 228"
"26";"SHC RIO GRANDE";"RIO GRANDE";"-32.0489";"-52.1478";"96212-730";"RUA JOCKEY CLUBE 343 ANCORA 4"
"27";"SHC PLAZA SUL";"SÃO PAULO";"-23.6196";"-46.6276";"04151-100";"PRACA LEONOR KAUPA SN D 2P1"
"28";"LONDRINA";"LONDRINA";"-23.311";"-51.1611";"86020-360";"AV PARANA 196"
"29";"LAPA SP";"SAO PAULO";"-23.519";"-46.7037";"05073-000";"RUA 12 DE OUTUBRO 92"
"30";"VALENÇA";"VALENÇA";"-13.3697";"-39.0631";"45400-000";"RUA RUI BARBOSA 38 E44"
"31";"NOVA IGUAÇU";"NOVA IGUAÇU";"-22.7581";"-43.4525";"26210-060";"AV GOVERNADOR AMARAL PEIXOTO 277"
"32";"CAMPO GRANDE RJ";"RIO DE JANEIRO";"-22.9046";"-43.5595";"23050-360";"RUA CORONEL AGOSTINHO 112 LOJA A"
"33";"GOIÂNIA";"GOIANIA";"-16.6695";"-49.3022";"74043-010";"AV ANHANGUERA 5562"
"35";"BRASILIA";"BRASILIA";"-15.679";"-48.1927";"70300-500";"SCS Q 04 BLOCO A LOJA 11 S/N"
"36";"C.GRANDE";"CAMPO GRANDE";"-20.4602";"-54.6191";"79002-205";"RUA MARECHAL RONDON 1336"
"37";"RECIFE";"RECIFE";"-8.06037";"-34.8834";"50050-030";"RUA SETE DE SETEMBRO 267"
"38";"SHC CAMPINAS";"CAMPINAS";"-22.8935";"-47.0289";"13094-900";"AV IGUATEMI 777"
"39";"TAGUATINGA";"BRASILIA";"-15.8332";"-48.0522";"72015-015";"CSA 1 LOTES 2/ 3/ 4/ 16 E 17 S/N"
"40";"SHC B.HORIZONTE";"BELO HORIZONTE";"-19.9845";"-43.9806";"30330-000";"ROD BR 356 3049 LJ BH17"
"41";"MARINGA";"MARINGA";"-23.4211";"-51.9327";"87013-000";"AV BRASIL 3171"
"42";"PORTO ALEGRE";"PORTO ALEGRE";"-30.0298";"-51.2286";"90020-009";"RUA DOS ANDRADAS 1305"
"43";"SHC IBIRAPUERA SP";"SAO PAULO";"-23.6096";"-46.6679";"04029-200";"AV IBIRAPUERA 3101"
"44";"SHC BAHIA";"SALVADOR";"-12.9693";"-38.4801";"41828-900";"AVENIDA ANTONIO CARLOS MAGALHAES 148 LJ 01 QD D"
"45";"VITORIA";"VITORIA";"-20.3196";"-40.3304";"29010-361";"AV PRINCESA ISABEL 475"
"46";"LARANJEIRAS";"RIO DE JANEIRO";"-22.932";"-43.1811";"22240-000";"RUA DAS LARANJEIRAS 49"
"47";"FORTALEZA";"FORTALEZA";"-3.72795";"-38.5287";"60025-000";"RUA BARAO DO RIO BRANCO 922"
"48";"BELEM";"BELEM";"-1.45377";"-48.4933";"66010-000";"AVE PRESIDENTE VARGAS 940"
"49";"UBERLANDIA";"UBERLANDIA";"-18.9205";"-48.2777";"38400-186";"PRACA TUBAL VILELA 252 NA 272"
"50";"MACEIO";"MACEIO";"-9.6704";"-35.7263";"57036-540";"AV DQ DE CAXIAS 1792"
"51";"SHC ITABORAÍ PLAZA";"ITABORAÍ";"-22.7673";"-42.9059";"24809-234";"RODOVIA BR-101 S/N KM 295"
"52";"SHC LAPA SALVADOR";"SALVADOR";"-12.9835";"-38.5148";"40070-000";"RUA PORTAO DA PIEDADE 155 LJ G 2"
"56";"SHC TACARUNA REC.";"RECIFE";"-8.03696";"-34.8722";"50110-900";"AVENIDA GOVERNADOR AGAMENON MAGALHAES 153 LJ 100"
"57";"NILÓPOLIS";"NILÓPOLIS";"-22.8094";"-43.4183";"26500-000";"ESTR MIRANDELA 290 A 318"
"58";"SHC PARK LAGOS";"CABO FRIO";"-22.8758";"-42.0364";"28911-320";"RUA HENRIQUE TERRA 1700 LOJA ANC 5"
"59";"ARACAJU";"ARACAJU";"-10.9098";"-37.0492";"49010-130";"RUA JOAO PESSOA 331"
"60";"ASSIS";"ASSIS";"-22.6615";"-50.414";"19814-000";"AVENIDA RUI BARBOSA 782 792"
"61";"S.LUIS";"SAO LUIS";"-2.52031";"-44.2692";"65000-000";"RUA GRANDE S/N"
"63";"SHC PIEDADE BA";"SALVADOR";"-12.9839";"-38.5134";"40070-310";"RUA JUNQUEIRA AIRES 08 SHOPPING P"
"64";"NATAL";"NATAL";"-5.78541";"-35.2066";"59025-001";"AVENIDA RIO BRANCO 503"
"65";"S.BERNARDO";"SAO BERNARDO DO CAMP";"-23.7119";"-46.5505";"09710-012";"RUA MARECHAL DEODORO 1489"
"66";"FLORIANOPOLIS";"FLORIANOPOLIS";"-27.5938";"-48.5563";"88010-001";"RUA FELIPE SCHMIDT 446"
"67";"SHC BARRASHOP RJ";"RIO DE JANEIRO";"-22.9996";"-43.3555";"22631-004";"AV DAS AMERICAS 4666 LOJA C1"
"68";"LAVRAS";"LAVRAS";"-21.2478";"-45.0029";"37200-000";"RUA FRANCISCO DE ANDRADE 264"
"69";"CAXIAS";"DUQUE DE CAXIAS";"-22.7868";"-43.3131";"25010-140";"AV NILO PECANHA 145"
"70";"SHC CONTINENTE PARK";"SÃO JOSÉ";"-27.6136";"-48.6435";"88106-101";"RODOVIA BR 101 SN KM 210, LO"
"71";"SHC MUELLER PR";"CURITIBA";"-25.4231";"-49.27";"80530-000";"AV CANDIDO ABREU 127 SS 001"
"72";"OSASCO";"OSASCO";"-23.5294";"-46.7789";"06016-060";"RUA TEN AVELAR P AZEVED0 140"
"73";"SHC VILA OLÍMPIA";"SÃO PAULO";"-23.5958";"-46.6869";"04551-000";"RUA OLIMPIADAS 360 LUC N(o) 222"
"74";"CODO";"CODO";"-4.45488";"-43.8836";"65400-000";"RUA AFONSO PENA 481"
"75";"SHC S.BERNARDO";"SAO BERNARDO DO CAMP";"-23.6975";"-46.5509";"09750-902";"PRACA SAMUEL SABATINI 200 LOJA 1"
"76";"VOLTA REDONDA 2";"VOLTA REDONDA";"-22.5115";"-44.0869";"27253-223";"AVN AMARAL PEIXOTO 559"
"77";"SHC SHOP RIO";"RIO DE JANEIRO";"-22.9247";"-43.3608";"22740-010";"AV GEREMARIO DANTAS 404 LOJA 135"
"78";"TEOFILO OTONI";"TEOFILO OTONI";"-17.8628";"-41.5088";"39800-013";"RUA EPAMINONDAS OTONI 813 LT 41 QD 2"
"79";"PATROCINIO";"PATROCINIO";"-18.9373";"-46.9947";"38740-000";"AVENIDA RUI BARBOSA 737"
"80";"CAXIAS MA";"CAXIAS";"-4.86176";"-43.3628";"65606-010";"PCA CANDIDO MENDES 348"
"81";"ANGRA DOS REIS";"ANGRA DOS REIS";"-23.0069";"-44.3154";"23900-600";"PRACA GENERAL OSORIO 16 ANT 4 E 4A"
"82";"ARAGUARI";"ARAGUARI";"-18.6515";"-48.1924";"38440-128";"RUA MARCIANO SANTOS 353"
"83";"SAO CRISTOVAO BA";"SALVADOR";"-12.9154";"-38.4444";"41500-660";"AVENIDA ALIOMAR BALEEIRO 578 LJS 2 E 3"
"84";"AQUIDABÃ";"SALVADOR";"-12.9685";"-38.5053";"40025-001";"AVENIDA JOSE JOAQUIM SEABRA 368 N 370"
"85";"SHC INTERLAGOS";"SAO PAULO";"-23.6753";"-46.6787";"04661-200";"AVENIDA INTERLAGOS 2255"
"86";"SHC S.J.CAMPOS";"SAO JOSE DOS CAMPOS";"-23.1949";"-45.872";"12216-580";"AV DEP BENEDITO  MATARAZ 9403 LJ E"
"87";"SHC PLAZA NITEROI";"NITEROI";"-22.8961";"-43.1234";"24020-120";"RUA QUINZE DE NOVEMBRO 8 UNID 317"
"88";"SHC RECIFE";"RECIFE";"-8.11726";"-34.9014";"51020-900";"RUA PE CARAPUCEIRO 777 LJ 117/118"
"89";"SHC LIMEIRA";"LIMEIRA";"-22.5645";"-47.4004";"13485-905";"AVENIDA CARLOS KUNTZ BUSCH 800 EUC N.(o) L6"
"90";"SHC PARK CAMPO GRANDE";"RIO DE JANEIRO";"-22.9286";"-43.5736";"23045-830";"ETR DO MONTEIRO 1200 LUC 101 P"
"91";"AFONSO PENA";"UBERLÂNDIA";"-18.9173";"-48.2771";"38400-130";"AVENIDA AFONSO PENA 739"
"92";"SHC MACEIO";"MACEIO";"-9.64798";"-35.7164";"57036-540";"AV GUSTAVO PAIVA 2990 LJ ANC D"
"93";"JI PARANÁ";"JI PARANÁ";"-10.8816";"-61.9257";"76908-404";"RUA JOSE EDUARDO VIEIRA 1584"
"94";"SHC CURITIBA";"CURITIBA";"-25.4591";"-49.2663";"80250-230";"PCA OSVALDO CRUZ 2698 LJ G1/1E2"
"95";"SHC CAMPO GRANDE";"RIO DE JANEIRO";"-22.8837";"-43.5568";"23087-281";"ESTRADA DO MENDANHA 555 SUC 103"
"96";"RIO DAS OSTRAS";"RIO DAS OSTRAS";"-22.521";"-41.9346";"28890-000";"AVN CASIMIRO DE ABREU 4340 LOTE 21A"
"97";"SHC ESTAÇÃO BH";"BELO HORIZONTE";"-19.8209";"-43.946";"31744-007";"AVENIDA CRISTIANO MACHADO 11833 LUC 317318"
"98";"SHC PARQUE DAS BANDEIRAS";"CAMPINAS";"-22.9219";"-47.1273";"13060-803";"AVENIDA JOHN BOYD DUNLOP 3900 ESP COML"
"99";"SHC BETIM";"BETIM";"-19.9441";"-44.188";"32632-090";"AV EDMEIA MATTOS LAZAROTTI 1655 LJ 140 PS1"
"100";"SHC VIA PARQUE RJ";"RIO DE JANEIRO";"-22.9827";"-43.3654";"22775-001";"AVENIDA AYRTON SENNA 3000 LJ 1091"
"101";"SHC TATUAPE";"SAO PAULO";"-23.5422";"-46.5771";"03306-010";"RUA DOMINGOS AGOSTIM S/N LJ 03"
"102";"SHC PATIO BELEM";"BELEM";"-1.45685";"-48.4956";"66023-710";"TRAV PADRE EUTIQUIO 1078 LJ ANC C"
"103";"SHC VITORIA";"VITORIA";"-20.3122";"-40.2892";"29050-420";"AV AMERICO BUAIZ 200 LOJA A 14"
"104";"BATISTA DE OLIVEIRA";"JUIZ DE FORA";"-21.7591";"-43.3474";"36013-300";"RUA BATISTA DE OLIVEIRA 381"
"105";"SHC PARANAVAÍ";"PARANAVAÍ";"-23.0764";"-52.4543";"87702-000";"RUA GETULIO VARGAS 909 L22"
"106";"SHC DEO PASSEO";"FORTALEZA";"-3.73739";"-38.4943";"60000-000";"AV SANTOS DUMONT 03131 LOJA 1"
"107";"SHC NORTH  FORTALEZA";"FORTALEZA";"-3.73603";"-38.5668";"60325-002";"AV BEZERRA DE MENEZES 2450 LOJA 266"
"108";"CAXIAS 2";"DUQUE DE CAXIAS";"-22.7983";"-43.3051";"25020-002";"AVENIDA PRESIDENTE KENNEDY 1961"
"110";"SHC PENHA";"SAO PAULO";"-23.5251";"-46.5482";"03634-000";"RUA DOUTOR JOAO RIBEIRO 304 A I"
"111";"PITUBA";"SALVADOR";"-13.009";"-38.4623";"41830-050";"AVENIDA OCTAVIO MANGABEIRA 810 ED COSTA"
"112";"CALDAS NOVAS";"CALDAS NOVAS";"-17.7383";"-48.6209";"75690-000";"AVENIDA CORONEL BENTO DE GODOY SN QD26 LT09"
"113";"CUIABA CPA";"CUIABA";"-15.559";"-56.0523";"78055-150";"RUA PROFESSOR JORNALISTA AMARO FIGUEIREDO FALCAO 520 ANT S JOSE"
"114";"LUIZOTE DE FREITAS";"UBERLANDIA";"-18.9173";"-48.3295";"38414-073";"AVENIDA JOSE FONSECA E SILVA 1930 LJ 01 E 02"
"115";"SHC LONDRINA";"LONDRINA";"-23.3612";"-51.1507";"86000-000";"ROD CELSO GARCIA CID S/N KM 377"
"116";"SHC PARK EUROPEU";"BLUMENAU";"-26.8911";"-49.0708";"89052-381";"VIA EXPRESSA PAUL FRITZ KUEHNRICH 1600 ANC 03"
"118";"SHC MOINHOS";"PORTO ALEGRE";"-30.0243";"-51.2011";"90570-070";"RUA OLAVO BARRETO VIANA 36 LJ 101"
"119";"SHC NORTE SHOPP";"RIO DE JANEIRO";"-22.8873";"-43.2836";"20771-004";"AV DOM HELDER CAMARA 5332 LJ 2301"
"120";"SHC MARKET PLACE SP";"SAO PAULO";"-23.5203";"-46.7462";"04794-000";"AVENIDA DAS NACOES UNIDAS 13947 LJ 112"
"121";"SHC BOULEVARD RIO";"RIO DE JANEIRO";"-22.9202";"-43.2506";"20560-030";"R BARAO DE SAO FRANCISCO 236 LJ A 1 E 2"
"122";"GURUPI";"GURUPI";"-11.7448";"-49.0826";"77410-010";"AVENIDA GOIAS 1698"
"123";"SHC GUARARAPES";"JABOATAO DOS GUARARA";"-8.13472";"-34.9758";"54325-000";"AV GENERAL BARRETO DE MENEZES 800 LJ 186"
"124";"FONSECA";"NITEROI";"-22.8813";"-43.0877";"24120-191";"ALAMEDA SAO BOAVENTURA 896 A"
"125";"SHC IGUATEMI ESPLANADA";"VOTORANTIM";"-23.5336";"-47.4654";"18110-650";"AVENIDA GISELE CONSTANTINO 1870 LUC F"
"126";"ARAXA";"ARAXA";"-19.5941";"-46.9364";"38183-186";"RUA PRESIDENTE OLEGARIO MACIEL 567"
"127";"SHC WEST PLAZA";"SAO PAULO";"-23.5276";"-46.6743";"05003-020";"AVENIDA ANTARTICA 408"
"128";"SHC FLAMBOYANT";"GOIANIA";"-16.7099";"-49.233";"74810-100";"AV JAMEL CECILIO 3300 QD B 34LT2"
"129";"ITANHAEM";"ITANHAEM";"-24.1834";"-46.7894";"11740-000";"AVENIDA CONDESSA DE VIMEIROS 307 323"
"130";"SHC BELA VISTA";"SALVADOR";"-12.9676";"-38.4762";"41150-125";"RUA DOS RODOVIARIOS S/N SUC 60.1"
"131";"SHC TOP SHOP IGUACU";"NOVA IGUACU";"-22.7432";"-43.4569";"26285-060";"AV GOV ROBERTO SILVEIRA 540 1 PISO"
"132";"SHC MOGI";"MOGI DAS CRUZES";"-23.5169";"-46.1757";"08780-000";"AVENIDA VER NARC Y GUIMARAES 1001"
"133";"SHC PARQUE BELEM";"BELEM";"-1.37162";"-48.4436";"66635-110";"RODOVIA AUGUSTO MONTENEGRO 4300 LOJA 1000"
"134";"CACERES";"CACERES";"-16.0667";"-57.6875";"78200-000";"RUA MARECHAL DEODORO 300"
"135";"SHC BOTAFOGO PRAIA";"RIO DE JANEIRO";"-22.9474";"-43.1825";"22250-040";"PRAIA DE BOTAFOGO 400 SUBSOLO"
"136";"SHC JARDINS ARACAJU";"ARACAJU";"-10.9422";"-37.0578";"49026-010";"AV MINISTRO GERALDO BARRETO SOBRAL 215 LOJA 147"
"137";"SHC BRASILIA SHOPP";"BRASILIA";"-15.7867";"-47.8887";"71710-500";"SCN S/N QD 05 LT A LOJA 200 N 1 SUBSOLO S/N"
"138";"SHC MINAS SHOPPING";"BELO HORIZONTE";"-19.8759";"-43.928";"31910-810";"AV CRISTIANO MACHADO 4000 LJ B"
"139";"TAQUARA";"RIO DE JANEIRO";"-22.9245";"-43.3709";"22740-361";"ESTRADA DO TINDIBA 1973"
"140";"UMUARAMA";"UMUARAMA";"-23.7629";"-53.315";"87501-030";"AVENIDA PARANA 3693"
"141";"SHC RIOMAR";"RECIFE";"-8.08591";"-34.8907";"51110-900";"AVENIDA REPUBLICA DO LIBANO 251"
"142";"COLOMBO";"COLOMBO";"-25.366";"-49.1872";"83408-000";"ESTRADA DA RIBEIRA BR-476 3001 LJ2 TERREO"
"143";"SHC VILLA NOVA";"MACAPA";"0.039272";"-51.0712";"68900-070";"AVENIDA PRESIDENTE VARGAS 341 01"
"144";"LUIS EDUARDO MAGALHAES";"LUIS EDUARDO MAGALHA";"-12.0897";"-45.7963";"47850-000";"RUA PERNAMBUCO 111 TERREOE 1"
"145";"PASSEIO  RJ";"RIO DE JANEIRO";"-22.9125";"-43.1767";"20021-290";"RUA DO PASSEIO 42 56 SSL/TER"
"146";"SHC PARK  BRASILIA";"BRASILIA";"-15.7817";"-47.9149";"71219-900";"SAISO A 1 N 6580 LOJAS 214 S/N"
"147";"SHC MESTRE ALVARO";"SERRA";"-20.2947";"-40.293";"29160-925";"AVENIDA JOAO PALACIOS 300 SUC 110A"
"148";"SHC IGUATEMI FORT";"FORTALEZA";"-3.75697";"-38.4906";"60811-340";"AV WASHINGTON SOARES 85 LJ 120/121"
"149";"SHC LIGHT";"SAO PAULO";"-23.546";"-46.6388";"01048-100";"RUA CEL XAVIER TOLEDO 23 LOJAS"
"152";"SHC DELREY MG";"BELO HORIZONTE";"-19.8898";"-43.967";"31250-010";"AV PRESIDENTE CARLOS LUZ 3001 PISO 2 NL5"
"153";"PARNAMIRIM";"PARNAMIRIM";"-5.91754";"-35.2627";"59140-230";"RUA SARMENTO NOBERTO MARQUES S/N"
"154";"SHC PRAIA DE  BELAS RS";"PORTO ALEGRE";"-30.0494";"-51.2278";"90110-001";"AV PRAIA DE BELAS 1181 ANC 0002"
"155";"GONZAGA";"SANTOS";"-23.9681";"-46.333";"11060-002";"AVENIDA ANA COSTA 542"
"156";"SHC CIDADE BH";"BELO HORIZONTE";"-19.9215";"-43.94";"30190-060";"R TUPIS 317 LJ 01/03"
"157";"SHC ILHA PLAZA";"RIO DE JANEIRO";"-22.8014";"-43.2022";"21920-440";"AV MAESTRO PAULO SILVA 400 LJ 129/130"
"158";"SHC ITAGUACU";"SAO JOSE";"-27.5866";"-48.6081";"88117-900";"RUA GERONCIO THIVES 1079 SUC 23 B"
"159";"SHC MANAIRA";"JOAO PESSOA";"-7.09765";"-34.8412";"58037-000";"AV FLAVIO RIBEIRO COUTINHO 805 LJ T- 306"
"161";"SHC JARAGUA";"ARARAQUARA";"-21.7828";"-48.1943";"14801-600";"ACESSO HEITOR DE SOUZA PINHEIRO 2270 SUC 503"
"162";"SHC CENTRAL PLAZA";"SAO PAULO";"-23.6284";"-46.6342";"03153-001";"AVENIDA DOUTOR FRANCISCO MESQUITA 1000 LJ ANC Q"
"163";"SHC LESTE";"SAO PAULO";"-23.5652";"-46.5074";"03527-000";"AV ARICANDUVA 5555 LJ ANC F"
"164";"SHC CARIOCA";"RIO DE JANEIRO";"-22.8509";"-43.3102";"21371-120";"AV VICENTE DE CARVALHO 909 LJ 201"
"165";"SHC MAXI JUNDIAI";"JUNDIAI";"-23.1987";"-46.8664";"13215-900";"AVENIDA ANTONIO FREDERICO OZANAN 6000 LJ 2600"
"166";"SHC PONTA GROSSA";"PONTA GROSSA";"-25.0955";"-50.1542";"84035-000";"R ERMELINO DE LEAO 703 ANCORA 1"
"167";"SHC BIG CONTAGEM";"CONTAGEM";"-19.943";"-44.04";"32315-000";"AV JOAO CESAR DE OLIVEIRA 1275  PS02 LJB"
"168";"SHC ABC SANTO ANDRE";"SANTO ANDRE";"-23.6684";"-46.5331";"09190-210";"AV PEREIRA BARRETO 42  LOJA 1"
"169";"SHC ESTACAO CURITIBA";"CURITIBA";"-25.4373";"-49.2657";"80230-010";"AV SETE DE SETEMBRO 2775 LJ 2076"
"172";"SHC MUELLER";"JOINVILLE";"-26.3031";"-48.8498";"89201-908";"RUA VISCONDE DE TAUNAY 235 L A4 3PISO"
"173";"SHC NOVO RIBEIRAO PRETO";"RIBEIRAO PRETO";"-21.2015";"-47.7675";"14096-350";"AV PRESIDENTE KENNEDY 1500 LJ ANC AM"
"174";"SHC BARRA";"SALVADOR";"-12.9903";"-38.5112";"40155-150";"AVENIDA CENTENARIO 2992 PISO L3"
"175";"SHC NOVA AMERICA";"RIO DE JANEIRO";"-22.8795";"-43.2707";"20760-005";"AV PASTOR MARTIN LUTHER KING JUNIOR 126 BL01 LJB P"
"176";"SHC ELDORADO CAMPO GRANDE";"CAMPO GRANDE";"-20.4596";"-54.5915";"79031-900";"AV AFONSO PENA 4909 SL CM 1501"
"177";"SHC PIRACICABA";"PIRACICABA";"-22.703";"-47.6494";"13414-900";"AV LIMEIRA 722 SUC TER"
"178";"SHC BEBEDOURO";"BEBEDOURO";"-20.9489";"-48.4925";"14701-464";"AVENIDA ALLAN KARDEC 1451 LJ ANCOR B"
"179";"SHC PLAZA ITU";"ITU";"-23.2631";"-47.2851";"13312-000";"RODOVIA MARECHAL RONDON KM 105 SL COM 104"
"181";"SHC LINDOIA";"PORTO ALEGRE";"-30.0105";"-51.1514";"91010-003";"AV ASSIS BRASIL 3522 LOJA 200"
"182";"SHC ITAJAI";"ITAJAI";"-26.9041";"-48.6599";"88301-320";"RUA SAMUEL HEUSI 234 LJ ANC 001"
"183";"SHC AGUAS LINDAS";"AGUAS LINDAS DE GOIA";"-15.75";"-48.2973";"72910-000";"QUADRA 0 S/N LT 6A LOJA"
"184";"SHC SAO GONCALO";"SAO GONCALO";"-22.8125";"-43.0726";"24466-240";"AV SAO GONCALO 100 LOJA 116"
"185";"SHC TAGUATINGA";"BRASILIA";"-15.8417";"-48.0448";"71950-904";"RUA 210 QS 01 LT 40 LJ 2006/2007/2008/2009 E 2010 AGUAS CLAR S/N"
"186";"SHC NOVO SHOPPING";"NOVO HAMBURGO";"-29.7323";"-51.1263";"93320-021";"AV NACOES UNIDAS 2001 LJ 1004 A"
"187";"SHC PRAIA DA COSTA";"VILA VELHA";"-20.3399";"-40.2875";"29101-950";"AV DOUTOR OLIVIO LIRA 353 SUC 07 1 P"
"188";"SHC GRANDE RIO";"SAO JOAO DE MERITI";"-22.7971";"-43.3524";"25586-140";"ESTRADA MUNICIPAL SAO JOAO DE MERITI 111 LJ 323 P 1"
"189";"SHC CASCAVEL JL";"CASCAVEL";"-24.9505";"-53.4774";"85810-230";"AV TOLEDO 432 LOJA 121"
"190";"SHC BURITI";"APARECIDA DE GOIANIA";"-16.7419";"-49.2782";"74915-515";"AVENIDA RIO VERDE S/N QD102 LJ25"
"191";"SHC ARACATUBA";"ARACATUBA";"-21.2223";"-50.4356";"16020-050";"AVENIDA JOAQUIM POMPEU DE TOLEDO 601 LJS 52/53"
"192";"SHC PATIO SAVASSI";"BELO HORIZONTE";"-19.94";"-43.934";"30110-110";"AVENIDA DO CONTORNO 6061 LJ 115/116"
"193";"SHC FRANCA";"FRANCA";"-20.5416";"-47.4172";"14406-005";"AVENIDA RIO NEGRO 1100 LOJA C 1"
"194";"SHC TIVOLI";"SANTA BARBARA D'OEST";"-22.7543";"-47.3905";"13456-080";"AV SANTA BARBARA 777 LOJA A"
"195";"SHC PARQUE D. PEDRO";"CAMPINAS";"-22.8554";"-47.0569";"13087-901";"AVENIDA GUILHERME CAMPOS 500 LJ 179/180"
"196";"SHC LITORAL PLAZA";"PRAIA GRANDE";"-23.9964";"-46.4093";"11726-000";"AVENIDA AYRTON SENNA DA SILVA 1511 LJ 40 PISO"
"197";"SHC NEUMARKT";"BLUMENAU";"-26.9197";"-49.0685";"89010-203";"RUA SETE DE SETEMBRO 1213 SL 17"
"198";"SHC TAMBIA";"JOAO PESSOA";"-7.11526";"-34.8805";"58020-500";"AV DEPUTADO ODON BEZERRA 184 L1-02/50-6"
"199";"SHC BENFICA";"FORTALEZA";"-3.73944";"-38.5402";"60015-290";"AVENIDA CARAPINIMA 2200 ILHAS 001"
"200";"SHC JEQUITIBA PLAZA";"ITABUNA";"-14.8008";"-39.2771";"45605-415";"AVENIDA AZIZ MARON S/N LJ 21 A 24"
"201";"BLESS CENTER";"BELO HORIZONTE";"-19.8166";"-43.9536";"31615-250";"AVENIDA VILARINHO 1167 LOJA 2 E 3"
"202";"SHC HORTOLANDIA";"HORTOLANDIA";"-22.865";"-47.2166";"13184-290";"RUA JOAO CAMILO DE CAMARGO 5 LOJA 233"
"203";"SHC OESTE PLAZA";"ANDRADINA";"-22.865";"-47.2166";"16901-100";"AVENIDA GUANABARA 2919 BOX 2/3/4"
"204";"SHC JARDIM DAS AMERICAS";"CURITIBA";"-25.4512";"-49.2292";"81530-020";"AV NOSSA SENHORA DE LOURDES 63 2PISO/LJ8B"
"205";"SHC CIDADE";"MARINGA";"-23.4227";"-51.9086";"87040-360";"AV TUIUTI 710 LJ AN44/45"
"206";"SHC CONJ NACIONAL BRASILIA";"BRASILIA";"-15.791";"-47.8857";"72577-900";"SD/NORTE LOJA S-132 CONJUNTO NACIONAL BRASILIA S/N"
"207";"SAO JOSE DOS PINHAIS";"SAO JOSE DOS PINHAIS";"-25.5384";"-49.1997";"83005-000";"RUA XV DE NOVEMBRO 1960"
"208";"SHC PANTANAL";"CUIABA";"-15.5887";"-56.083";"78050-250";"AV RUBENS MENDONCA 3300 LJ ANC N1"
"209";"DIVINOPOLIS";"DIVINOPOLIS";"-20.1451";"-44.8877";"35500-002";"AVENIDA 1 DE JULHO 454"
"210";"SHC PARQUE SHOPPING PRUDENTE";"PRESIDENTE PRUDENTE";"-22.133";"-51.392";"19013-030";"RUA SIQUEIRA CAMPOS 1545 LJ 98 / 99"
